X,Y,ObjectID,Facility Type,Facility,Address,City,ZipCode,Jurisdiction,Parking Lot,Name,District,LocalDesignation,CountyDesignation,
-122.8080653,38.06805826,1001,Fire Station,Point Reyes Station Fire & Substation, ,Point Reyes,94956,,,,,,,
-122.5684089,38.02641434,1002,0,Juvenile Services Center,4 Jeannette Prandi Way,San Rafael,94903,,,,,,,
-122.910229,38.24665112,1003,Fire Station,Tomales Fire Station,599 Dillon Beach Rd,Dillon Beach,94929,,,,,,,
-122.5591021,38.14103098,1004,0,Airport,351 Airport Rd,Novato,94945,,,,,,,
-122.5174996,37.97041773,1005,Health Services,Montecito Clinic,361 Third St,San Rafael,94901,,,,,,,
-122.5130422,37.8736579,1006,Fire Station,Marin City Fire Station,850 Drake Ave,Marin City,94965,,,,,,,
-122.5563259,37.96292485,1007,Fire Station,Ross Fire Station, ,Ross,94957,,,,,,,
-122.4573963,37.89355682,1008,0,Paradise Beach Park, , ,94920,,,,,,,
-122.699487,38.06229294,1009,0,Corporation Yard,5600 Nicasio Valley Rd,Nicasio,94946,,,,,,,
-122.8536709,38.09709166,1010,Library,Inverness Library,15 Park Ave,Inverness,94937,,,,,,,
-122.8085981,38.06959966,1011,0,West Marin Service Center,100 6th St,Point Reyes,94956,,,,,,,
-122.5680035,38.01753347,1012,0,California Children's Service,850 Del Ganado Rd, ,94903,,,,,,,
-122.5785308,37.91204558,1013,Fire Station,Throckmorton Fire Station,816 Panoramic Hwy,Mill Valley,94941,,,,,,,
-122.5098439,37.94853276,1014,0,Convention/Visitor Bureau, , ,94939,,,,,,,
-122.5297014,37.99513126,1015,0,20 North San Pedro Road,20 N San Pedro Rd,San Rafael,94903,,,,,,,
-122.4531806,37.99224497,1016,0,McNears Beach Park, , ,94901,,,,,,,
-122.5317452,37.99822747,1017,0,Civic Center,3501 Civic Center Dr,San Rafael,94903,,,,,,,
-122.5370836,37.94718936,1018,Health Services,Mental Health Clinic/ Crisis- Marin General,250 Bon Air Rd,Greenbrae,94904,,,,,,,
-122.5314971,38.00237901,1019,0,Fairgrounds,20 Avenue of the Flags,San Rafael,94903,,,,,,,
-122.5243852,38.01956453,1020,0,John F McInnis County Park,310 Smith Ranch Rd, ,94903,,,,,,,
-122.6358883,38.00715645,1021,Fire Station,"Woodacre Fire Station, HQ",33 Castle Rock Ave,Woodacre,94973,,,,,,,
-122.534793,38.06867134,1022,0,1 Commercial Novato,1 Commercial Blvd,Novato,94949,,,,,,,
-122.5298036,37.99492931,1023,0,10 North San Pedro,10 N San Pedro Rd,San Rafael,94903,,,,,,,
-122.5781778,38.10623197,1024,0,Satellite Building,1682 Novato Blvd,Novato,94947,,,,,,,
-122.568094,38.02710806,1025,0,Parks and Open Space,18 Jeannette Prandi Way,San Rafael,94903,,,,,,,
-122.4973833,37.95536261,1026,0,Employment Services, , ,94901,,,,,,,
-122.50538,37.87280441,1027,0,Harbor Administrator, , ,94965,,,,,,,
-122.5380137,38.01709993,1028,0,Satellite Building,65 Mitchell Blvd,San Rafael,94903,,,,,,,
-122.5340088,37.99931566,1029,0,Department of Public Works - Garage,6 Peter Behr Dr,San Rafael,94903,,,,,,,
-122.5323104,38.0002223,1030,0,County Jail,13 Peter Behr Dr,San Rafael,94903,,,,,,,
-122.5683355,38.0269606,1031,0,Juvenile Hall Facilities,16 Jeannette Prandi Way,San Rafael,94903,,,,,,,
-122.5022968,37.96174271,1032,0,Employment Services, , ,94901,,,,,,,
-122.5180506,37.9716456,1033,Health Services,Dental Clinic,411 4th St,San Rafael,94901,,,,,,,
-122.6464938,38.11744638,1034,0,Stafford Lake Park,3549 Novato Blvd, ,94947,,,,,,,
-122.5379297,38.07370087,1035,0,Data Processing,371 Bel Marin Keys Blvd,Novato,94949,,,,,,,
-122.5343026,37.99986375,1036,0,Department of Public Works - Radio Shop,4 Peter Behr Dr,San Rafael,94903,,,,,,,
-122.5183606,37.97166237,1037,Health Services,Urgent Care Clinic,920 Grand Ave,San Rafael,94901,,,,,,,
-122.5337651,38.01605853,1038,0,161 Mitchell,161 Mitchell Blvd,San Rafael,94903,,,,,,,
-122.5440201,38.00048945,1039,0,"Easter Seals Society, Inc.",555 Northgate Dr,San Rafael,94903,,,,,,,
-122.5665564,38.11717938,1040,0,7655 Redwood,7655 Redwood Blvd,Novato,94945,,,,,,,
-122.7080483,38.13843987,1041,Fire Station,Hicks Valley Fire Station,7330 Red Hill Rd,Petaluma,94952,,,,,,,
-122.5413515,37.97379607,1042,0,Employment & Training, ,San Rafael,94903,,,,,,,
-122.5475852,37.95605847,1043,Police Station,Kentfield Sheriff Substation, ,Kentfield,94904,,,,,,,
-122.5103226,37.87263286,1044,0,Marin City Shopping Center, ,Marin City,94965,,,,,,,
-122.5684466,38.02664729,1045,0,County Storage Bldg, ,San Rafael,94903,,,,,,,
-122.5315597,37.97261866,1046,Health Services,Outpatient Clinic for Nursing Care, ,San Rafael,94903,,,,,,,
-122.5150509,37.89856142,1047,0,Strawberry Shopping Center, ,Mill Valley,94941,,,,,,,
-122.7161282,38.02654103,1048,0,Fire Lookout- Mt. Barnabe, ,Forest Knolls,94933,,,,,,,
-122.5802656,37.92785617,1049,0,Fire Lookout- Mt. Tamalpais, , , ,,,,,,,
-122.5368663,38.02303186,1050,0,120 N Redwood Dr, ,San Rafael,94903,,,,,,,
-122.5375108,38.06978155,1051,0,19 C Hamilton Novato, ,Novato,94949,,,,,,,
-122.6403671,37.89836983,1052,Library,Stinson Beach Library,3521 Shoreline Hwy,Stinson Beach,94970,,,,,,,
-122.8064249,38.06945096,1053,Library,Point Reyes Station Library,11435 Shoreline Hwy,Point Reyes,94956,,,,,,,
-122.5802224,38.10721778,1054,Library,Novato Library,1720 Novato Blvd,Novato,94947,,,,,,,
-122.5142764,38.05770423,1055,Library,South Novato Library,6 Hamilton Landing,Novato,94949,,,,,,,
-122.6857411,37.9093696,1056,Library,Bolinas Library,16 Wharf Rd,Bolinas,94924,,,,,,,
-122.511558,37.87310471,1057,Library,Marin City Library,164 Donahue St,Marin City,94965,,,,,,,
-122.5181385,37.92412197,1058,Library,Corte Madera Library,707 Meadowsweet Dr,Carte Madera,94925,,,,,,,
-122.5927086,37.990204,1059,Library,Fairfax Library,2097 Sir Francis Drake Blvd,Fairfax,94930,,,,,,, 
-122.7161282,38.02654103,1060,Fire Station,MT BARNABE FIRE LOOK OUT,,,,,,,,,MBA,FS27
-122.6973137,37.91086427,1061,Fire Station,BOLINAS,100 MESA RD,,,,,,,,BOL,FS17
-122.5475137,37.95610366,1062,Fire Station,STA17 KENTFIELD,1004 SIR FRANCIS DRAKE BLVD,,,,,,,,S17, 
-122.4845802,37.94154049,1063,Fire Station,SAN QUENTIN STATE PRISON FIRE,,,,,,,,,SQ,FS46
-122.6541384,38.05978865,1064,Fire Station,SKYWALKER RANCH FIRE BRIGADE,5888 LUCAS VALLEY RD,,,,,,,,SKY,FS 6
-122.5479289,37.90737646,1065,Fire Station,STA 6 MILL VALLEY,26 CORTE MADERA,,,,,,,,S6,FS38
-122.5739594,37.86472865,1066,Fire Station,MUIR BEACH VOLUNTEER FIRE,1716 SHORELINE HWY,,,,,,,,MUR, 
-122.5802656,37.92785617,1067,Fire Station,MT TAM FIRE LOOKOUT,,,,,,,,,MTA,FS34
-122.808073,38.06802091,1068,Fire Station,PT REYES STATION,401 B ST,,,,,,,,PTR,FS36
-122.9101715,38.24642614,1069,Fire Station,TOMALES,599 TOMALES-DILLON BEACH RD,,,,,,,,TOM,FS31
-122.6357848,38.00716161,1070,Fire Station,WOODACRE HQ,33 CASTLE ROCK DR,,,,,,,,WOO, 
-122.6464088,37.90137342,1071,Fire Station,STA 1 STINSON BEACH,,,,,,,,,S1,FS13
-122.5066593,37.91973628,1072,Fire Station,STA13 CORTE MADERA,5600 PARADISE DR,,,,,,,,S13,FS 2
-122.4899444,37.85190091,1073,Fire Station,STA 2 SPENCER AV,300 SPENCER AVE,,,,,,,,S2,FS 1
-122.4841358,37.85833256,1074,Fire Station,STA 1 JOHNSON ST,333 JOHNSON ST,,,,,,,,S1,FS10
-122.4794928,37.9032802,1075,Fire Station,STA10 TIBURON,4301 PARADISE DR,,,,,,,,S10,FS11
-122.4569395,37.87450239,1076,Fire Station,STA11 TIBURON,1679 TIBURON BLVD,,,,,,,,S11,FS 9
-122.506358,37.89051379,1077,Fire Station,STA 9 S MARIN FIRE,308 REED BLVD,,,,,,,,S9,FS20
-122.576057,37.9918142,1078,Fire Station,STA20 ROSS VALLEY,150 BUTTERFIELD RD,,,,,,,,S20,FS16
-122.5206519,37.94501761,1079,Fire Station,STA16 LARKSPUR,15 BARRY WAY,,,,,,,,S16,FS 4
-122.5338774,37.87850946,1080,Fire Station,STA 4 S MARIN FIRE,309 POPLAR AVE,,,,,,,,S4,FS54
-122.503096,37.96020806,1081,Fire Station,STA 4 CASTRO ST,46 CASTRO ST,,,,,,,,S4,FSN3
-122.6044501,38.12135956,1082,Fire Station,STA 3 NOVATO,65 SAN RAMON WAY,,,,,,,,S3,FSN1
-122.565602,38.09772833,1083,Fire Station,STA 1 NOVATO,7205 REDWOOD BLVD,,,,,,,,S1,FSN4
-122.539254,38.06666259,1084,Fire Station,STA 4 NOVATO,319 ENFRENTE RD,,,,,,,,S4,FSN2
-122.533107,38.11094434,1085,Fire Station,STA 2 NOVATO,450 ATHERTON AVE,,,,,,,,S2,FS35
-122.7080233,38.13854939,1086,Fire Station,HICKS VALLEY,7330 REDHILL RD,,,,,,,,HIC,FS37
-122.6983948,38.06234917,1087,Fire Station,NICASIO VALLEY VOLUNTEER FIRE,1 OLD RANCHERIA RD,,,,,,,,NIC,FS14
-122.5268899,37.92587442,1088,Fire Station,STA14 CORTE MADERA,342 TAMALPAIS DR,,,,,,,,S14,FS29
-122.8543716,38.09694942,1089,Fire Station,INVERNESS,50 INVERNESS WAY,,,,,,,,INV,FS15
-122.5353393,37.93453411,1090,Fire Station,STA15 LARKSPUR,420 MAGNOLIA AVE,,,,,,,,S15,FS33
-122.5129382,37.87368538,1091,Fire Station,MARIN CITY,850 DRAKE AVE,,,,,,,,MAR,FS58
-122.5524247,38.02770017,1092,Fire Station,MARINWOOD,777 MILLER CREEK RD,,,,,,,,S8, 
-122.5271048,37.83274697,1093,Fire Station,PARK SERVICE GGNRA,,,,,,,,,GGN,FS18
-122.5566131,37.96304794,1094,Fire Station,STA18 ROSS,33 SIR FRANCIS DRAKE BLVD,,,,,,,,S18,FS21
-122.5910237,37.98542206,1095,Fire Station,STA21 ROSS VALLEY,10 PARK RD,,,,,,,,S21,FS19
-122.564098,37.97647919,1096,Fire Station,STA19 ROSS VALLEY,777 SAN ANSELMO AVE,,,,,,,,S19,FS55
-122.4723533,37.98329484,1097,Fire Station,STA 5 SAN RAFAEL,955 POINT SAN PEDRO RD,,,,,,,,S5,FS 7
-122.5222843,37.89640305,1098,Fire Station,STA 7 MILL VALLEY,1 HAMILTON DR,,,,,,,,S7,FS28
-122.6374957,37.8986308,1099,Fire Station,STA 2 STINSON BEACH,3410 SHORELINE HWY,,,,,,,,S2,FS32
-122.5787755,37.91226782,1100,Fire Station,THROCKMORTON,816 PANORAMIC HWY,,,,,,,,THR,FSN5
-122.5275018,38.05045857,1101,Fire Station,STA 5 NOVATO,5 BOLLING DR,,,,,,,,S5, 
-122.7308492,37.97066334,1102,Fire Station,HAGMIRE,,,,,,,,,HAG,FS52
-122.5196638,37.97178876,1103,Fire Station,STA 2 UNION ST,519 4TH ST,San Rafael,94901,,,,,,S2,FS51
-122.5307558,37.97492977,1104,Fire Station,STA 1 SAN RAFAEL,1151 C ST,San Rafael,94901,,,,,,S1,FS56
-122.5597122,38.01461111,1105,Fire Station,STA 6 SAN RAFAEL,650 DEL GANADO RD,San Rafael,94903,,,,,,S6,FS57
-122.5399817,38.01095268,1106,Fire Station,STA 7 SAN RAFAEL,30 JOSEPH CT,San Rafael,94903,,,,,,S7,FS53
-122.5595283,38.01449986,1107,Fire Station,STA 3 SAN RAFAEL,650 DEL GANADO RD,San Rafael,94903,,,,,,S3,
-122.5326877,37.99953237,1108,Law Enforcement,COUNTY OF MARIN,3501  CIVIC CENTER DR  Rm 145,SANRAFAEL,94903,,,,,,,
-122.5909513,37.98536789,1109,Law Enforcement,TOWN OF FAIRFAX,144  BOLINAS RD,FAIRFAX,94930,,,,,,,
-122.4655069,37.87419818,1110,Law Enforcement,CITY OF BELVEDERE,450  SAN RAFAEL AVE,BELVEDERE,94920,,,,,,,
-122.5694565,38.10651967,1111,Law Enforcement,CITY OF NOVATO,909  MACHIN AVE,NOVATO,94945,,,,,,,
-122.5115162,37.92458924,1112,Law Enforcement,CALIF HIGHWAY PATROL,53  SAN CLEMENTE DR,CORTE MADERA,94925,,,,,,,
-122.5303537,37.93852274,1113,Law Enforcement,TWIN CITIES,250  DOHERTY DR,LARKSPUR,93939,,,,,,,
-122.5563239,37.96271969,1114,Law Enforcement,TOWN OF ROSS,31  SIR FRANCIS DRAKE BLVD,ROSS,94957,,,,,,,
-122.4665448,37.88192519,1115,Law Enforcement,TOWN OF TIBURON,1155  TIBURON BLVD,TIBURON,94920,,,,,,,
-122.5222843,37.89640305,1116,Law Enforcement,CITY OF MILL VALLEY,1  HAMILTON DR,MILL VALLEY,94941,,,,,,,
-122.5268899,37.92587442,1117,Law Enforcement,TWIN CITIES,342  TAMALPAIS DR,CORTE MADERA,94925,,,,,,,
-122.5318014,37.97480728,1118,Law Enforcement,CITY OF SAN RAFAEL,1400  5TH AVE,SAN RAFAEL,94901,,,,,,,
-122.4867043,37.86043203,1119,Law Enforcement,CITY OF SAUSALITO,300  LOCUST ST,SAUSALITO,94965,,,,,,,
-122.5129382,37.87368538,1120,Law Enforcement,COUNTY OF MARIN,850  DRAKE AVE,SAUSALITO,94965,,,,,,,
-122.5491082,37.95402422,1121,Law Enforcement,COLLEGE OF MARIN,835  COLLEGE AVE,KENTFIELD,94904,,,,,,,
-122.5475126,37.95611155,1122,Law Enforcement,COUNTY OF MARIN,1004  SIR FRANCIS DRAKE BLVD,KENTFILED,94904,,,,,,,
-122.808073,38.06802091,1123,Law Enforcement,COUNTY OF MARIN,101  4TH ST,POINT REYES STATION,94956,,,,,,,
-122.5628721,37.97462393,1124,Law Enforcement,TOWN OF SAN ANSELMO,525  SAN ANSELMO AVE,SAN ANSELMO,94960,, ,,,,,
-122.4888496,37.85971319,1125,City Library,Sausalito Library,420 LITHO ST,SAUSALITO,94965,,,,,,,
-122.4614286,37.87711767,1126,City Library,Tiburon - Belvedere ,1501 TIBURON BLVD,TIBURON,94920,,,,,,,
-122.5628714,37.97459647,1127,City Library,San Anselmo Library,110 TUNSTEAD AVE,SAN ANSELMO,94960,,,,,,,
-122.5326381,37.97505029,1128,City Library,San Rafael Library,1100 E ST,SAN RAFAEL,94901,,,,,,,
-122.554613,37.90591965,1129,City Library,Mill Valley Library,375 THROCKMORTON AVE,MILL VALLEY,94941,,,,,,,
-122.5353308,37.93434398,1130,City Library,Larkspur Library,400 MAGNOLIA  AVE,LARKSPUR,94939,,,,,,,
-122.8533127,38.09724313,1131,County Library,Inverness Library,15 PARK AVE,INVERNESS,94937,,,,,,,
-122.8064319,38.06952119,1132,County Library,Point Reyes Station ,11435 STATE ROUTE 1,POINT REYES STATION,94956,,,,,,,
-122.6857411,37.9093696,1133,County Library,Bolinas Library,14 WHARF RD,BOLINAS,94924,,,,,,,
-122.6403671,37.89836983,1134,County Library,Stinson Beach Librar,3521 STATE ROUTE 1,STINSON BEACH,94970,,,,,,,
-122.511558,37.87310471,1135,County Library,Marin City Library,164 DONAHUE ST,SAUSALITO,94965,,,,,,,
-122.5181385,37.92412197,1136,County Library,Corte Madera Library,707 MEADOWSWEET DR,CORTE MADERA,94925,,,,,,,
-122.5927086,37.990204,1137,County Library,Fairfax Library,2097 SIR FRANCIS DRAKE BLVD,FAIRFAX,94930,,,,,,,
-122.5310685,37.99861653,1138,County Library,Civic Center Library,3501 CIVIC CENTER DR,SAN RAFAEL,94903,,,,,,,
-122.5802224,38.10721778,1139,County Library,Novato Library,1720 NOVATO BLVD,NOVATO,94947,,,,,,,
-122.5256315,38.05720044,1140,County Library,South Novato Library,931 C ST,NOVATO,94949,,,,,,,
-122.4978899,37.96800994,1141,City Library,Pickleweed Library,50 CANAL ST,SAN RAFAEL,94901,,,,,,,
-122.6871921,37.90811236,1142,Post Office,BOLINAS,20 BRIGHTON AVE,BOLINAS             ,94924,,,,,,,
-122.4591374,37.8746233,1143,Post Office,BELVEDERE-TIBURON,6 BEACH RD,TIBURON             ,94920,,,,,,,
-122.5267366,37.92625909,1144,Post Office,CORTE MADERA,7 PIXLEY AVE,CORTE MADERA        ,94925,,,,,,,
-122.5851064,37.98620149,1145,Post Office,FAIRFAX,773 CENTER BLVD,FAIRFAX             ,94930,,,,,,,
-122.8520242,38.09661953,1146,Post Office,INVERNESS,12781 SIR FRANCIS DRAKE BLVD,INVERNESS           ,94937,,,,,,,
-122.5054608,37.95895713,1147,Post Office,SAN RAFAEL MAIN,40 BELLAM BLVD,SAN RAFAEL          ,94901,,,,,,,
-122.5285681,37.9976073,1148,Post Office,CIVIC CENTER BRANCH,2 CIVIC CENTER DR,SAN RAFAEL          ,94903,,,,,,,
-122.5485157,37.95344766,1149,Post Office,KENTFIELD BRANCH,822 COLLEGE AVE,KENTFIELD           ,94904,,,,,,,
-122.5317961,37.97281488,1150,Post Office,MISSION RAFAEL STATION,910 D ST,SAN RAFAEL          ,94901,,,,,,,
-122.4993079,37.86715074,1151,Post Office,SAUSALITO,150 HARBOR DR,SAUSALITO           ,94965,,,,,,,
-122.6401823,37.89801045,1152,Post Office,STINSON BEACH,15 CALLE DEL MAR,STINSON BEACH       ,94970,,,,,,,
-122.9051946,38.24644522,1153,Post Office,TOMALES,27005 STATE ROUTE 1,TOMALES             ,94971,,,,,,,
-122.644388,38.01267762,1154,Post Office,WOODACRE,183 SAN GERONIMO VALLEY DR,WOODACRE            ,94973,,,,,,,
-122.6668322,38.01416547,1155,Post Office,SAN GERONIMO,630 SAN GERONIMO VALLEY DR,SAN GERONIMO        ,94963,,,,,,,
-122.6972464,38.01424519,1156,Post Office,LAGUNITAS,7120 SIR FRANCIS DRAKE BLVD,LAGUNITAS           ,94938,,,,,,,
-122.5355999,37.93645323,1157,Post Office,LARKSPUR,120 WARD ST,LARKSPUR            ,94939,,,,,,,
-122.8873966,38.1515524,1158,Post Office,MARSHALL,19200 STATE ROUTE 1,MARSHALL            ,94952,,,,,,,
-122.6983948,38.06234917,1159,Post Office,NICASIO,1 OLD RANCHERIA RD,NICASIO             ,94946,,,,,,,
-122.5709756,38.09743582,1160,Post Office,NOVATO,1537 S NOVATO BLVD,NOVATO              ,94947,,,,,,,
-122.7892165,38.04347169,1161,Post Office,OLEMA,10155 STATE ROUTE 1,OLEMA               ,94950,,,,,,,
-122.805295,38.06804681,1162,Post Office,POINT REYES STATION,11260 STATE ROUTE 1,POINT REYES STATION ,94956,,,,,,,
