X,Y,OBJECTID,Name,StrFormat,ZipCode,SitusCity,Facility Type
-122.6871921,37.90811236,1142,BOLINAS,20 BRIGHTON AVE,94924,BOLINAS             ,Post Office
-122.4591374,37.8746233,1143,BELVEDERE-TIBURON,6 BEACH RD,94920,TIBURON             ,Post Office
-122.5267366,37.92625909,1144,CORTE MADERA,7 PIXLEY AVE,94925,CORTE MADERA        ,Post Office
-122.5851064,37.98620149,1145,FAIRFAX,773 CENTER BLVD,94930,FAIRFAX             ,Post Office
-122.8520242,38.09661953,1146,INVERNESS,12781 SIR FRANCIS DRAKE BLVD,94937,INVERNESS           ,Post Office
-122.5054608,37.95895713,1147,SAN RAFAEL MAIN,40 BELLAM BLVD,94901,SAN RAFAEL          ,Post Office
-122.5285681,37.9976073,1148,CIVIC CENTER BRANCH,2 CIVIC CENTER DR,94903,SAN RAFAEL          ,Post Office
-122.5485157,37.95344766,1149,KENTFIELD BRANCH,822 COLLEGE AVE,94904,KENTFIELD           ,Post Office
-122.5317961,37.97281488,1150,MISSION RAFAEL STATION,910 D ST,94901,SAN RAFAEL          ,Post Office
-122.4993079,37.86715074,1151,SAUSALITO,150 HARBOR DR,94965,SAUSALITO           ,Post Office
-122.6401823,37.89801045,1152,STINSON BEACH,15 CALLE DEL MAR,94970,STINSON BEACH       ,Post Office
-122.9051946,38.24644522,1153,TOMALES,27005 STATE ROUTE 1,94971,TOMALES             ,Post Office
-122.644388,38.01267762,1154,WOODACRE,183 SAN GERONIMO VALLEY DR,94973,WOODACRE            ,Post Office
-122.6668322,38.01416547,1155,SAN GERONIMO,630 SAN GERONIMO VALLEY DR,94963,SAN GERONIMO        ,Post Office
-122.6972464,38.01424519,1156,LAGUNITAS,7120 SIR FRANCIS DRAKE BLVD,94938,LAGUNITAS           ,Post Office
-122.5355999,37.93645323,1157,LARKSPUR,120 WARD ST,94939,LARKSPUR            ,Post Office
-122.8873966,38.1515524,1158,MARSHALL,19200 STATE ROUTE 1,94952,MARSHALL            ,Post Office
-122.6983948,38.06234917,1159,NICASIO,1 OLD RANCHERIA RD,94946,NICASIO             ,Post Office
-122.5709756,38.09743582,1160,NOVATO,1537 S NOVATO BLVD,94947,NOVATO              ,Post Office
-122.7892165,38.04347169,1161,OLEMA,10155 STATE ROUTE 1,94950,OLEMA               ,Post Office
-122.805295,38.06804681,1162,POINT REYES STATION,11260 STATE ROUTE 1,94956,POINT REYES STATION ,Post Office
-122.556143,37.96149223,1163,ROSS,1 ROSS COMMON,94957,ROSS                ,Post Office
-122.561814,37.97092604,1164,SAN ANSELMO,121 SAN ANSELMO AVE,94960,SAN ANSELMO         ,Post Office
-122.525742,37.90318963,1165,MILL VALLEY,751 E BLITHEDALE AVE,94941,MILL VALLEY         ,Post Office
-122.4805777,37.94289356,1166,SAN QUENTIN,1 MAIN ST,94964,SAN QUENTIN         ,Post Office
-122.6892869,38.01515685,1167,FOREST KNOLLS,6 CASTRO ST,94933,FOREST KNOLLS       ,Post Office
-122.9644844,38.24998136,1168,DILLON BEACH,52 CYPRESS AVE,94929,DILLON BEACH        ,Post Office
